"";"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election";"potLoss_same90";"potGain_same90"
"303";470;8;"1980-04-11";"1980-05-22";41;NA;9;0;0;0;0
"304";471;8;"1980-04-14";"1980-05-22";38;1;1;1;0;0;0
"305";473;8;"1980-02-27";"1980-05-22";85;NA;1;0;0;0;0
"306";474;8;"1980-02-27";"1980-05-22";85;1;9;1;0;0;0
"307";477;8;"1980-03-05";"1980-06-12";99;1;14;1;0;0;0
"308";479;8;"1980-04-18";"1980-06-18";61;1;3;1;0;0;0
"309";480;8;"1980-05-08";"1980-06-18";41;1;7;1;0;0;0
"310";481;8;"1980-05-23";"1980-06-25";33;0;25;1;0;0;0
"311";482;8;"1980-04-24";"1980-06-18";55;0;16;1;0;0;0
"312";483;8;"1980-04-18";"1980-06-25";68;1;3;1;0;0;0
"313";484;8;"1980-05-21";"1980-06-25";35;NA;1;0;0;0;0
"314";485;8;"1980-02-21";"1980-03-20";28;1;9;1;0;0;0
"315";488;8;"1980-05-12";"1980-06-18";37;1;9;1;0;0;0
"316";489;8;"1980-05-12";"1980-06-18";37;1;3;1;0;0;0
"317";490;8;"1980-05-12";"1980-06-18";37;1;3;1;0;0;0
"318";491;8;"1980-05-12";"1980-06-18";37;1;3;1;0;0;0
"319";492;8;"1980-05-09";"1980-06-18";40;0;1;1;0;0;0
"320";493;8;"1980-04-21";"1980-06-25";65;0;9;1;0;0;0
"321";494;8;"1980-04-21";"1980-06-12";52;0;25;1;0;0;0
"322";495;8;"1980-04-21";"1980-06-26";66;1;3;1;0;0;0
"323";498;8;"1980-05-09";"1980-06-12";34;0;3;1;0;0;0
"324";499;8;"1980-05-12";"1980-06-25";44;1;14;1;0;0;0
"325";500;8;"1980-06-02";"1980-07-02";30;0;3;1;0;0;0
"326";501;8;"1980-04-16";"1980-06-12";57;0;16;0;0;0;0
"327";502;8;"1980-05-02";"1980-06-19";48;0;9;1;0;0;0
"328";503;8;"1980-05-30";"1980-07-02";33;0;3;1;0;0;0
"329";510;8;"1980-06-18";"1980-07-02";14;1;14;1;0;0;0
"330";519;9;"1980-11-26";"1981-04-02";127;1;3;1;0;0;0
"331";520;9;"1980-12-05";"1982-12-16";741;NA;16;0;0;0;0
"332";521;9;"1980-11-24";"1981-02-12";80;1;3;1;0;0;0
"333";522;9;"1981-01-13";"1982-06-25";528;1;2;1;0;0;0
"334";526;9;"1980-12-22";"1981-04-02";101;1;3;1;0;0;0
"335";528;9;"1980-11-26";"1981-06-25";211;0;16;1;0;0;0
"336";529;9;"1980-11-26";"1981-02-12";78;0;16;1;0;0;0
"337";530;9;"1980-11-26";"1981-06-24";210;1;16;1;0;0;0
"338";531;9;"1980-11-26";"1981-02-12";78;0;16;1;0;0;0
"339";532;9;"1980-11-27";"1981-05-26";180;0;2;1;0;0;0
"340";533;9;"1980-11-27";"1981-05-26";180;1;2;1;0;0;0
"341";535;9;"1980-12-22";"1981-04-09";108;1;14;1;0;0;0
"342";536;9;"1980-12-22";"1981-04-09";108;1;3;1;0;0;0
"343";537;9;"1980-12-22";"1981-04-09";108;0;3;1;0;0;0
"344";538;9;"1980-12-22";"1981-04-02";101;0;3;1;0;0;0
"345";539;9;"1980-12-22";"1981-04-02";101;0;16;1;0;0;0
"346";540;9;"1980-12-22";"1981-04-09";108;0;3;1;0;0;0
"347";542;9;"1981-01-09";"1981-02-19";41;0;9;1;0;0;0
"348";543;9;"1981-01-09";"1981-05-07";118;1;9;1;0;0;0
"349";544;9;"1981-02-02";"1981-06-26";144;1;3;1;0;0;0
"350";545;9;"1981-02-02";"1981-06-25";143;1;3;1;0;0;0
"351";547;9;"1981-01-09";"1981-06-05";147;0;9;1;0;0;0
"352";548;9;"1981-03-13";"1981-06-26";105;0;25;1;0;0;0
"353";549;9;"1981-02-26";"1981-06-25";119;1;9;1;0;0;0
"354";550;9;"1981-09-11";"1982-01-22";133;0;9;1;0;0;0
"355";554;9;"1981-03-25";"1981-10-01";190;0;4;1;0;0;0
"356";555;9;"1981-03-16";"1981-05-26";71;0;3;1;0;0;0
"357";556;9;"1981-04-27";"1981-09-10";136;0;3;1;0;0;0
"358";557;9;"1981-04-27";"1981-09-10";136;0;3;1;0;0;0
"359";558;9;"1981-03-16";"1981-04-08";23;0;2;1;0;0;0
"360";561;9;"1981-04-08";"1981-06-25";78;0;3;1;0;0;0
"361";562;9;"1981-05-18";"1981-12-02";198;1;14;1;0;0;0
"362";563;9;"1981-04-08";"1981-06-24";77;0;7;1;0;0;0
"363";568;9;"1981-09-22";"1981-11-12";51;1;7;1;0;0;0
"364";569;9;"1981-07-15";"1982-01-15";184;1;14;1;0;0;0
"365";570;9;"1981-05-14";"1981-06-25";42;0;14;1;0;0;0
"366";571;9;"1981-05-08";"1981-06-04";27;0;2;1;0;0;0
"367";572;9;"1981-05-20";"1981-10-23";156;1;2;1;0;0;0
"368";574;9;"1981-05-14";"1981-06-26";43;1;14;1;0;0;0
"369";575;9;"1981-05-11";"1981-06-25";45;1;4;1;0;0;0
"370";576;9;"1982-02-10";"1982-11-26";289;1;16;1;0;0;0
