"docno";"lp";"date_bt_ini";"date_com_as";"date_com_ini";"date_com_out";"date_bt_out";"phase1";"phase2";"phase3";"phase4";"phase_total";"completed";"zustimmg";"election";"leadingcom";"compresOpp";"potLoss_emp";"potGain_emp";"potLoss_same90";"potGain_same90";"potLoss_past";"potGain_past";"potLoss_com";"potGain_com"
"14/1245";14;"1999-06-23";"1999-06-30";"1999-10-27";"1999-11-03";"1999-11-04";7;119;7;1;134;1;0;0;2;0;0;0;0;1;0;1;0;0
"14/1246";14;"1999-06-23";"1999-06-30";"1999-09-29";"2000-02-21";"2000-02-24";7;91;145;3;246;1;0;0;13;1;0;0;0;1;0;1;0;1
"14/1247";14;"1999-06-23";"1999-06-30";"1999-09-29";"2000-07-05";"2000-07-06";7;91;280;1;379;1;0;0;13;1;0;0;0;1;0;1;0;1
"14/1400";14;"1999-08-13";"1999-09-17";"1999-09-29";"1999-11-18";"1999-11-26";35;12;50;8;105;1;0;0;5;1;0;1;0;1;0;1;0;1
"14/1413";14;"1999-07-19";"1999-09-30";"1999-11-10";"1999-11-30";"1999-12-16";73;41;20;16;150;1;0;0;1;1;0;1;0;1;0;1;0;1
"14/1415";14;"1999-07-20";"1999-09-16";"1999-11-03";"1999-11-09";"1999-11-11";58;48;6;2;114;1;0;0;12;1;0;1;0;1;0;1;0;1
"14/1416";14;"1999-07-20";"1999-09-16";"1999-11-03";"1999-11-18";"1999-11-25";58;48;15;7;128;1;1;0;12;1;0;1;0;1;0;1;0;1
"14/1417";14;"1999-07-20";"1999-09-16";"1999-11-03";"1999-11-18";"1999-11-25";58;48;15;7;128;1;1;0;12;1;0;1;0;1;0;1;0;1
"14/1418";14;"1999-07-20";"1999-09-16";"1999-11-10";"1999-11-10";"1999-11-12";58;55;0;2;115;1;1;0;13;1;0;1;0;1;0;1;0;1
"14/1429";14;"1999-07-21";"1999-09-30";"1999-11-10";"1999-11-23";"1999-11-25";71;41;13;2;127;1;0;0;2;0;0;1;0;1;0;1;0;0
"14/1484";14;"1999-08-16";"1999-10-07";"1999-11-10";"2000-01-27";"2000-01-27";52;34;78;0;164;1;1;0;13;1;0;1;0;1;0;1;0;1
"14/1515";14;"1999-08-27";"1999-09-09";"1999-11-10";"1999-12-14";"1999-12-16";13;62;34;2;111;1;1;0;2;0;0;1;0;1;0;1;0;1
