"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"nummer";"election";"potLoss_same90";"potGain_same90"
8;"1980-02-12";"1980-06-12";121;0;3;1;424;0;0;0
8;"1979-12-21";"1980-06-18";180;0;3;1;425;0;0;0
8;"1980-01-29";"1980-06-18";141;1;14;1;428;0;0;0
8;"1980-02-21";"1980-05-22";91;0;9;1;436;0;0;0
8;"1980-02-21";"1980-05-22";91;1;9;1;437;0;0;0
8;"1980-03-22";"1980-06-18";88;1;2;1;438;0;0;0
8;"1980-03-11";"1980-06-12";93;0;9;1;439;0;0;0
8;"1980-04-28";"1980-06-25";58;1;3;1;440;0;0;0
8;"1980-02-11";"1980-04-17";66;1;3;1;441;0;0;0
8;"1980-02-11";"1980-04-17";66;1;3;1;442;0;0;0
8;"1980-02-11";"1980-04-17";66;1;3;1;443;0;0;0
8;"1980-03-04";"1980-05-22";79;1;3;1;444;0;0;0
8;"1980-02-13";"1980-04-17";64;0;3;1;445;0;0;0
8;"1980-02-13";"1980-05-22";99;0;3;1;446;0;0;0
8;"1980-02-22";"1980-06-25";124;0;16;1;447;0;0;0
8;"1980-03-19";"1980-06-25";98;1;14;1;448;0;0;0
8;"1980-03-06";"1980-05-22";77;NA;1;0;449;0;0;0
8;"1980-03-04";"1980-06-18";106;0;3;1;451;0;0;0
8;"1980-03-04";"1980-06-18";106;1;3;1;452;0;0;0
8;"1980-03-04";"1980-05-13";70;0;3;1;453;0;0;0
8;"1980-03-04";"1980-05-13";70;0;3;1;454;0;0;0
8;"1980-03-27";"1980-06-25";90;1;9;1;463;0;0;0
8;"1980-03-25";"1980-06-25";92;0;3;1;464;0;0;0
8;"1980-03-31";"1980-06-12";73;1;3;1;465;0;0;0
8;"1980-03-25";"1980-06-25";92;0;16;1;466;0;0;0
8;"1980-04-11";"1980-05-22";41;NA;9;0;470;0;0;0
8;"1980-04-14";"1980-05-22";38;1;1;1;471;0;0;0
8;"1980-02-27";"1980-05-22";85;NA;1;0;473;0;0;0
8;"1980-02-27";"1980-05-22";85;1;9;1;474;0;0;0
8;"1980-03-05";"1980-06-12";99;1;14;1;477;0;0;0
8;"1980-04-18";"1980-06-18";61;1;3;1;479;0;0;0
8;"1980-05-08";"1980-06-18";41;1;7;1;480;0;0;0
8;"1980-05-23";"1980-06-25";33;0;25;1;481;0;0;0
8;"1980-04-24";"1980-06-18";55;0;16;1;482;0;0;0
8;"1980-04-18";"1980-06-25";68;1;3;1;483;0;0;0
8;"1980-05-21";"1980-06-25";35;NA;1;0;484;0;0;0
8;"1980-02-21";"1980-03-20";28;1;9;1;485;0;0;0
8;"1980-05-12";"1980-06-18";37;1;9;1;488;0;0;0
8;"1980-05-12";"1980-06-18";37;1;3;1;489;0;0;0
8;"1980-05-12";"1980-06-18";37;1;3;1;490;0;0;0
8;"1980-05-12";"1980-06-18";37;1;3;1;491;0;0;0
8;"1980-05-09";"1980-06-18";40;0;1;1;492;0;0;0
8;"1980-04-21";"1980-06-25";65;0;9;1;493;0;0;0
8;"1980-04-21";"1980-06-12";52;0;25;1;494;0;0;0
8;"1980-04-21";"1980-06-26";66;1;3;1;495;0;0;0
8;"1980-05-09";"1980-06-12";34;0;3;1;498;0;0;0
8;"1980-05-12";"1980-06-25";44;1;14;1;499;0;0;0
8;"1980-06-02";"1980-07-02";30;0;3;1;500;0;0;0
8;"1980-04-16";"1980-06-12";57;0;16;0;501;0;0;0
8;"1980-05-02";"1980-06-19";48;0;9;1;502;0;0;0
8;"1980-05-30";"1980-07-02";33;0;3;1;503;0;0;0
8;"1980-06-18";"1980-07-02";14;1;14;1;510;0;0;0
9;"1980-11-26";"1981-04-02";127;1;3;1;519;0;0;0
9;"1980-12-05";"1982-12-16";741;NA;16;0;520;0;0;0
9;"1980-11-24";"1981-02-12";80;1;3;1;521;0;0;0
9;"1981-01-13";"1982-06-25";528;1;2;1;522;0;0;0
9;"1980-12-22";"1981-04-02";101;1;3;1;526;0;0;0
9;"1980-11-26";"1981-06-25";211;0;16;1;528;0;0;0
9;"1980-11-26";"1981-02-12";78;0;16;1;529;0;0;0
9;"1980-11-26";"1981-06-24";210;1;16;1;530;0;0;0
9;"1980-11-26";"1981-02-12";78;0;16;1;531;0;0;0
9;"1980-11-27";"1981-05-26";180;0;2;1;532;0;0;0
9;"1980-11-27";"1981-05-26";180;1;2;1;533;0;0;0
9;"1980-12-22";"1981-04-09";108;1;14;1;535;0;0;0
9;"1980-12-22";"1981-04-09";108;1;3;1;536;0;0;0
9;"1980-12-22";"1981-04-09";108;0;3;1;537;0;0;0
9;"1980-12-22";"1981-04-02";101;0;3;1;538;0;0;0
9;"1980-12-22";"1981-04-02";101;0;16;1;539;0;0;0
9;"1980-12-22";"1981-04-09";108;0;3;1;540;0;0;0
9;"1981-01-09";"1981-02-19";41;0;9;1;542;0;0;0
9;"1981-01-09";"1981-05-07";118;1;9;1;543;0;0;0
9;"1981-02-02";"1981-06-26";144;1;3;1;544;0;0;0
9;"1981-02-02";"1981-06-25";143;1;3;1;545;0;0;0
9;"1981-01-09";"1981-06-05";147;0;9;1;547;0;0;0
9;"1981-03-13";"1981-06-26";105;0;25;1;548;0;0;0
9;"1981-02-26";"1981-06-25";119;1;9;1;549;0;0;0
9;"1981-09-11";"1982-01-22";133;0;9;1;550;0;0;0
9;"1981-03-25";"1981-10-01";190;0;4;1;554;0;0;0
9;"1981-03-16";"1981-05-26";71;0;3;1;555;0;0;0
9;"1981-04-27";"1981-09-10";136;0;3;1;556;0;0;0
9;"1981-04-27";"1981-09-10";136;0;3;1;557;0;0;0
9;"1981-03-16";"1981-04-08";23;0;2;1;558;0;0;0
9;"1981-04-08";"1981-06-25";78;0;3;1;561;0;0;0
9;"1981-05-18";"1981-12-02";198;1;14;1;562;0;0;0
9;"1981-04-08";"1981-06-24";77;0;7;1;563;0;0;0
9;"1981-09-22";"1981-11-12";51;1;7;1;568;0;0;0
9;"1981-07-15";"1982-01-15";184;1;14;1;569;0;0;0
9;"1981-05-14";"1981-06-25";42;0;14;1;570;0;0;0
9;"1981-05-08";"1981-06-04";27;0;2;1;571;0;0;0
9;"1981-05-20";"1981-10-23";156;1;2;1;572;0;0;0
9;"1981-05-14";"1981-06-26";43;1;14;1;574;0;0;0
9;"1981-05-11";"1981-06-25";45;1;4;1;575;0;0;0
9;"1982-02-10";"1982-11-26";289;1;16;1;576;0;0;0
9;"1981-06-12";"1981-10-01";111;1;3;1;577;0;0;0
9;"1981-06-12";"1981-11-12";153;1;2;1;578;0;0;0
9;"1981-09-09";"1981-11-26";78;0;3;1;580;0;0;0
9;"1981-08-12";"1981-10-01";50;0;3;1;581;0;0;0
9;"1981-08-12";"1981-10-01";50;0;3;1;582;0;0;0
9;"1981-07-03";"1981-10-09";98;1;3;1;583;0;0;0
9;"1981-07-03";"1981-10-29";118;1;3;1;584;0;0;0
9;"1981-09-04";"1982-06-23";292;1;2;1;585;0;0;0
9;"1981-06-09";"1981-11-12";156;1;14;1;586;0;0;0
9;"1981-07-16";"1981-10-23";99;0;7;1;593;0;0;0
9;"1981-07-16";"1982-02-04";203;1;3;1;594;0;0;0
9;"1981-07-15";"1981-11-26";134;0;14;1;595;0;0;0
9;"1981-07-14";"1981-11-12";121;1;3;1;596;0;0;0
9;"1981-08-17";"1982-04-29";255;NA;1;0;597;0;0;0
